"","WRS_IDs","age","gender","agegender","agegender2","region","newspaper","partyid","socialgrade","profile_education_age","profile_education_level","profile_housing_stat","w1_starttime","w1_endtime","w1_W8","w1_q1","w1_q2","w1_pi1","w1_pi2","w1_pi3","w1_pi4","w1_pi5","w1_pi6","w1_pi7_new_1","w1_pi7_new_2","w1_pi7_new_3","w1_pi7_new_4","w1_pi7_new_5","w1_pi8grid_new","w1_pi8_new","w1_pi9_new","w1_pi10_new","w1_pi11_new","w1_vi1","w1_vi2","w1_vi3o","w1_vi3_1","w1_vi3_2","w1_vi3_3","w1_vi3_4","w1_vi3_5","w1_vi3_6","w1_vi3_7","w1_vi4o","w1_vi4_1","w1_vi4_2","w1_vi4_3","w1_vi4_4","w1_vi4_5","w1_vi4_6","w1_vi4_7","w1_vi5","w1_vi6","w1_vi7o","w1_vi7","w1_vi8","w1_vi9grid","w1_vi9a","w1_vi9b","w1_vi9c","w1_vi9d","w1_vi10","w1_vi11o","w1_vi11","w1_vi12","w1_vi13o","w1_vi13","w1_vi14","w1_vi15","w1_vi16","w1_vi17","w1_vi18","w1_vi19","w1_vi20","w1_vi20o","w1_vi21","w1_cp1","w1_cp2a_1","w1_cp2a_2","w1_cp2a_3","w1_cp2a_4","w1_cp2a_5","w1_cp2a_6","w1_cp2b","w1_cp3e_1","w1_cp3e_2","w1_cp3e_3","w1_cp3e_4","w1_cp3e_5","w1_cp3e_6","w1_cp3e_7","w1_cp3e_8","w1_cp3f","w1_cp3g_1","w1_cp3g_2","w1_cp3g_3","w1_cp3g_4","w1_cp3g_5","w1_cp3g_6","w1_cp3g_7","w1_cp3g_8","w1_cp3h","w1_cp3i_1","w1_cp3i_2","w1_cp3i_3","w1_cp3i_4","w1_cp3i_5","w1_cp3i_6","w1_cp3i_7","w1_cp3i_8","w1_cp3j","w1_cp3k_1","w1_cp3k_2","w1_cp3k_3","w1_cp3k_4","w1_cp3k_5","w1_cp3k_6","w1_cp3k_7","w1_cp3k_8","w1_cp3l","w1_cb4grid","w1_cp4a","w1_cp4b","w1_cp4c","w1_cp4d","w1_cp4e","w1_cp5","w1_d16a","w1_d16b","w1_d17a","w1_d17b","w1_d17c","w1_d18","w1_d19","w1_d20","w1_d21","w1_d22","w1_pi1a","w1_pi1b","w1_pi2a","w1_pi2b","w1_pi12grid","w1_pi12a","w1_pi12b","w1_pi12c","w1_pi12d","w1_pi12e","w1_pi12f","w1_pi12g","w1_pi12h","w1_pi12i","w1_pi13grid","w1_pi13a","w1_pi13b","w1_pi13c","w1_pi13d","w1_pi13e","w1_pi13f","w1_pi13g","w1_pi13h","w1_pi13i","w1_pi14grid","w1_pi14a","w1_pi14b","w1_pi14c","w1_pi14d","w1_pi14e","w1_p15","w1_p16","w1_pi3a","w1_pi3b","w1_pi4a","w1_pi4b","w1_pi5a","w1_pi5b","w1_pi6a","w1_pi6b","w1_pi7","w1_pi8","w1_pi9","w1_pi10","w1_pi11","w1_ap1a","w1_ap1b","w1_ap2grid","w1_ap2a","w1_ap2b","w1_ap2c","w1_ap2d","w1_ap2e","w1_ap2f","w1_ap2g","w1_ap3grid","w1_ap3a","w1_ap3b","w1_ap3c","w1_ap3d","w1_ap3e","w1_ap3f","w1_ap3g","w1_ap7grid","w1_ap7a","w1_ap7b","w1_ap7c","w1_ap7d","w1_ap7e","w1_ap7f","w1_ap7g","w1_ap8grid","w1_ap8a","w1_ap8b","w1_ap8c","w1_ap8d","w1_ap8e","w1_ap8f","w1_ap8g","w1_ap9","w1_ap10grid","w1_ap10a","w1_ap10b","w1_ap10c","w1_ap10d","w1_ap10e","w1_ap10f","w1_ap10g","w1_ap11_1","w1_ap11grid","w1_ap11a","w1_ap11b","w1_ap11c","w1_ap11d","w1_ap11e","w1_ap11f","w1_ap11g","w1_ap5grid1","w1_ap5a","w1_ap5b","w1_ap5c","w1_ap5d","w1_ap5e","w1_ap5grid2","w1_ap5f","w1_ap5g","w1_ap5h","w1_ap5i","w1_ap5j","w1_ap5grid3","w1_ap5k","w1_ap5l","w1_ap5m","w1_ap5n","w1_ap5o","w1_ap5grid4","w1_ap5p","w1_ap5q","w1_ap5r","w1_ap5s","w1_ap5t","w1_ap6grid","w1_ap6a","w1_ap6b","w1_ap6c","w1_ap6d","w1_ap6e","w1_ap6f","w1_ap6g","w1_ap12grid","w1_ap12a","w1_ap12b","w1_ap13grid","w1_ap13a","w1_ap13b","w1_ad1","w1_ad2","w1_ad2a","w1_ad2b","w1_ad2c","w1_ad2d","w1_ad2e","w1_ad2f","w1_ad2g","w1_ad3","w1_ad4","w1_ad5_1","w1_ad5_2","w1_ad5_3","w1_ad5_4","w1_ad5_5","w1_ad5_6","w1_ad5_7","w1_ad6","w1_ad7","w1_ad8","w1_ad9","w1_ad10","w1_ad11grid","w1_ad11a","w1_ad11b","w1_ad11c","w1_ad11d","w1_ad11e","w1_ad12grid","w1_ad12a","w1_ad12b","w1_ad12c","w1_ad12d","w1_ad12e","w1_ad13","w1_ad14","w1_r1grid","w1_r1a","w1_r1b","w1_r1c","w1_r1d","w1_r1e","w1_r1f","w1_r1g","w1_r1h","w1_r1j","w1_r2grid","w1_r2a","w1_r2b","w1_r2c","w1_r2d","w1_r2e","w1_r2f","w1_r2g","w1_r2h","w1_party","w1_split"
"1",2,35,1,2,2,6,4,1,1,5,16,2,2011-05-02 21:31:50,2011-05-02 21:53:36,0.135986351525031,7,NA,1,11,2,1,1,2,2,1,2,1,2,1,1,2,2,1,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",1,NA,1,1,11,1,4,5,"__NA__",4,2,"Hatred of Toryism",4,2,2,2,2,1,4,5,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,6,6,6,6,3,6,1,3,1,2,8,1,1,11,1,1,"Republic v Monarchy",6,"Is it worth staying in or out of the UK?",11,1,5,5,5,5,5,5,5,5,3,1,2,2,2,2,5,2,2,2,4,1,2,2,3,2,2,NA,1,2,2,2,2,2,3,3,3,5,5,2,1,1,1,1,1,2,10,3,8,6,2,1,1,1,7,1,11,8,7,1,1,8,6,7,11,8,10,3,1,1,8,1,11,6,5,12,3,1,5,10,9,3,4,10,11,9,1,8,1,2,7,8,1,6,1,4,1,4,4,4,1,2,2,3,3,3,1,3,2,3,3,3,1,3,3,2,1,2,1,11,2,2,10,10,2,1,1,5,4,1,5,2,3,1,2,4,2,1,4,5,1,4,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,2,2,2,4,2,1,5,1,11,11,12,1,11,11,11,3,11,1,6,6,6,6,6,6,6,5,"Labour",2
"2",3,48,1,3,3,5,7,1,1,3,16,1,2011-04-30 12:20:06,2011-04-30 12:41:42,0.371950486354213,2,NA,2,8,2,2,1,2,1,1,1,1,2,1,3,2,2,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",1,NA,1,2,11,4,3,2,"__NA__",1,NA,"__NA__",3,1,1,2,2,1,4,4,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,6,6,4,5,3,2,1,1,1,2,2,1,1,11,1,2,"unemployment",3,"DK",11,1,3,3,3,6,5,4,4,4,3,1,3,5,2,6,4,2,2,2,3,1,3,2,2,2,2,4,NA,6,5,3,2,3,1,6,NA,4,5,2,2,2,1,1,1,1,9,1,4,8,2,1,1,1,9,1,9,9,1,4,1,3,9,1,10,8,2,4,1,4,9,3,9,9,2,5,5,1,6,4,3,6,6,10,1,7,1,7,3,2,8,7,2,12,1,4,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,4,1,2,4,2,1,3,1,11,1,1,4,6,1,1,1,5,4,1,5,2,4,1,3,2,2,1,3,2,2,1,2,2,1,2,2,2,2,2,NA,2,NA,NA,NA,1,1,2,2,1,1,1,1,2,2,1,1,2,4,1,11,11,4,4,1,6,7,7,7,1,11,6,11,6,11,3,11,10,"Labour",1
"3",4,70,1,4,4,2,1,5,2,4,7,1,2011-04-11 11:01:40,2011-04-11 11:28:31,0.375224927128352,1,NA,2,9,4,4,1,3,1,1,2,1,2,1,4,1,4,1,1,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,1,1,2,2,2,4,6,"__NA__",NA,NA,1,1,11,3,3,6,"__NA__",5,1,"__NA__",5,4,2,6,1,1,3,3,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,3,1,3,1,3,6,3,NA,3,NA,NA,2,NA,11,1,2,"immigration and ""positve discrimination"" favouring aliens.",9,"None",11,1,3,5,3,3,2,2,2,2,5,1,5,5,3,3,5,5,5,3,5,1,6,6,6,6,6,NA,2,3,1,4,1,4,3,1,1,2,2,5,6,6,2,NA,1,11,1,4,1,2,5,6,1,11,1,11,12,12,12,12,1,11,2,11,2,2,2,2,1,12,12,12,12,12,12,12,9,1,1,10,6,1,1,11,11,6,1,11,6,6,11,12,12,12,1,2,5,5,5,2,1,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,1,11,6,1,1,11,10,1,2,2,1,5,5,5,1,2,6,2,2,4,6,6,4,5,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,5,1,1,1,1,1,1,1,1,1,1,6,2,1,1,1,1,1,1,1,3,1,1,1,1,2,6,3,11,11,11,6,"Conservative",2
"4",5,43,1,3,3,2,7,1,1,2,8,2,2011-04-24 23:07:45,2011-04-24 23:24:11,0.468082285848579,2,NA,2,8,1,1,1,1,2,1,1,1,2,1,2,2,3,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,2,"__NA__",2,NA,1,2,10,1,1,2,"__NA__",2,NA,"__NA__",3,2,2,1,2,1,4,4,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,3,3,1,3,2,6,1,1,1,2,2,1,1,11,2,1,"wars abroad",2,"cost cutting by conservative party",3,1,5,5,5,5,5,5,5,5,5,1,2,5,2,2,3,4,4,2,5,1,2,2,3,3,3,NA,2,2,2,3,2,3,2,3,1,5,5,2,2,2,1,1,1,1,9,1,6,4,1,1,1,1,7,1,12,6,12,12,1,1,7,1,12,12,12,12,1,1,6,1,12,12,12,12,7,1,6,8,7,4,5,10,11,6,1,8,3,10,9,10,3,4,1,4,5,4,4,4,1,2,5,5,5,3,1,4,5,5,5,4,1,5,5,5,5,5,1,11,1,1,6,3,1,1,1,4,4,1,5,5,1,1,3,4,2,1,3,4,2,3,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,2,2,2,2,2,2,5,1,11,11,6,11,1,1,11,11,11,1,11,1,11,2,11,8,8,6,"Labour",2
"5",6,48,1,3,3,1,1,2,1,4,9,1,2011-04-18 14:12:47,2011-04-18 14:36:42,0.686206169889093,1,NA,2,9,2,2,1,2,1,1,1,1,2,1,2,3,3,3,11,10,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",2,2,1,1,2,2,2,1,1,"__NA__",2,NA,1,7,8,7,7,6,"__NA__",2,NA,"__NA__",2,3,3,5,1,1,3,5,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,3,2,2,3,2,6,1,2,1,4,4,1,2,11,1,2,"Money",4,"Economy",4,1,3,3,3,3,3,2,2,2,4,1,4,3,3,3,3,4,4,3,3,1,3,3,3,3,3,2,NA,3,3,3,3,3,3,2,3,3,3,4,3,3,1,2,1,9,4,7,6,6,7,6,1,7,6,5,6,5,5,5,1,7,6,5,6,6,5,5,1,7,7,6,5,6,5,7,8,1,4,9,7,6,5,7,6,5,1,7,4,5,6,6,4,5,1,2,2,3,3,2,1,3,3,2,3,3,1,3,2,2,3,2,1,2,2,2,2,2,1,4,8,7,6,5,7,6,1,5,3,1,5,5,5,1,2,3,2,2,2,3,3,3,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,2,1,3,4,1,1,1,1,1,1,1,4,3,1,8,7,6,4,3,6,5,5,7,1,8,5,6,6,8,8,7,6,"Conservative",1
"6",7,52,1,3,3,2,5,1,2,2,11,1,2011-04-14 18:03:59,2011-04-14 18:23:43,0.424690370984105,5,2,2,8,2,2,1,2,1,1,2,1,2,1,4,3,3,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,5,"__NA__",2,NA,1,1,6,1,5,6,"__NA__",2,NA,"__NA__",1,3,3,2,5,NA,NA,NA,"__NA__",4,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,4,3,4,3,6,1,6,1,5,6,1,1,11,1,1,"The economy",2,"The economy",2,1,5,5,5,5,5,5,5,5,5,1,3,4,2,3,4,2,3,2,3,1,3,3,2,2,2,2,NA,3,3,3,3,4,1,3,3,5,5,3,3,3,2,NA,1,1,8,1,6,6,11,1,1,1,5,1,6,6,6,6,1,1,1,1,6,6,6,6,1,1,1,1,6,6,6,6,5,1,3,11,8,6,6,5,11,11,1,11,1,1,6,6,6,12,1,4,4,4,4,4,1,2,2,3,3,2,1,3,3,4,4,4,1,2,3,2,2,3,1,8,1,1,6,6,11,1,1,4,4,1,5,5,4,1,3,3,1,1,4,5,4,3,3,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,1,1,3,5,1,11,11,4,4,4,4,8,4,10,1,6,1,6,3,6,6,6,6,"",1
"7",9,33,2,6,6,3,7,3,1,5,16,2,2011-04-25 11:06:58,2011-04-25 11:43:38,0.664653443228782,7,NA,3,7,2,2,1,3,1,1,1,1,2,1,2,1,2,1,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,3,7,"__NA__",NA,NA,1,12,12,12,12,13,"__NA__",NA,NA,"__NA__",1,2,2,2,5,NA,NA,NA,"__NA__",8,2,1,1,1,1,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",1,2,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",1,4,1,2,4,3,6,1,3,1,3,3,1,2,11,3,3,"Public spending cuts",11,"Public spending cuts",11,1,6,3,6,6,5,4,4,4,3,1,6,4,6,6,3,4,5,4,5,1,6,6,3,5,3,NA,2,6,5,6,5,6,NA,6,NA,4,4,4,3,4,2,NA,1,4,6,6,3,6,4,1,1,4,3,4,7,3,12,6,1,4,3,3,7,2,12,12,1,12,12,12,12,12,12,12,5,1,5,9,5,12,5,10,11,5,1,12,12,12,12,12,12,12,1,4,5,5,5,4,1,2,5,5,5,3,1,2,5,5,5,2,1,5,4,2,1,4,1,6,4,8,2,6,3,1,1,5,4,1,5,5,4,1,2,6,2,1,3,2,6,3,6,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,2,2,1,1,4,4,1,11,11,12,12,3,4,6,7,7,1,9,7,9,9,9,7,9,8,"",2
"8",11,29,1,2,2,2,6,4,1,5,16,2,2011-04-28 14:48:38,2011-04-28 15:11:58,1.32220469458476,4,NA,1,9,1,1,1,2,2,1,2,1,2,1,5,4,4,2,11,11,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,1,4,"__NA__",1,NA,1,7,9,5,6,4,"__NA__",1,NA,"__NA__",1,2,3,1,4,1,2,2,"__NA__",4,2,2,2,2,1,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,2,2,2,1,2,2,2,"__NA__",1,3,2,3,2,5,6,1,4,1,4,4,1,1,11,2,1,"People disenfranchised from politics",6,"Lack of powers",6,1,5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,1,2,4,2,4,2,1,NA,2,1,3,4,2,2,3,4,5,5,5,3,3,1,5,1,4,3,2,10,6,2,2,1,2,3,2,7,8,4,2,1,4,4,3,7,7,5,3,1,4,4,2,7,7,4,4,5,1,8,8,7,4,5,9,10,5,1,3,2,5,7,7,2,2,1,4,2,4,4,4,1,3,2,3,4,4,1,3,2,3,3,4,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,5,4,1,5,5,2,1,5,2,3,1,1,5,5,4,1,2,2,2,2,1,2,2,NA,NA,NA,NA,9,1,1,2,2,1,1,1,2,2,3,2,2,2,4,1,11,11,8,8,11,11,8,8,10,1,11,11,11,11,11,11,11,11,"Plaid Cymru",1
"9",12,33,2,6,6,1,7,6,2,5,6,4,2011-04-30 20:50:43,2011-04-30 20:59:45,0.81207339189291,6,NA,4,3,4,4,1,4,2,2,2,2,1,1,1,1,1,1,1,1,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,4,6,"__NA__",NA,NA,1,12,12,12,12,12,"__NA__",NA,NA,"__NA__",5,4,4,6,5,NA,NA,NA,"__NA__",8,2,2,1,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,6,6,6,6,6,6,3,NA,3,NA,NA,2,NA,1,4,4,"Recession",11,"recession lack of jobs etc",11,1,4,4,4,4,4,4,4,4,4,1,4,5,4,4,4,5,5,5,5,1,6,6,6,6,6,4,NA,6,5,6,5,6,NA,6,NA,4,6,5,6,6,2,NA,1,1,1,1,12,12,12,12,1,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,12,1,12,12,12,12,12,12,12,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,6,6,1,6,6,6,1,2,5,1,5,5,6,6,4,6,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,1,5,5,5,5,5,1,5,5,5,5,5,6,4,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,7,12,12,"",1
"10",13,63,2,8,8,6,1,2,2,2,9,1,2011-04-07 14:05:43,2011-04-07 14:18:36,1.8490083810942,1,NA,3,5,4,4,2,3,2,2,2,2,1,1,2,1,1,2,4,9,"__NA__",NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,1,2,2,2,2,3,1,"__NA__",2,NA,1,2,11,4,4,1,"__NA__",2,NA,"__NA__",2,2,2,2,1,1,3,3,"__NA__",1,1,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,4,2,1,2,2,6,1,2,3,NA,NA,2,NA,4,3,2,"immigration",4,"single mothers",4,1,2,2,4,6,2,2,2,6,2,1,5,5,5,6,4,5,5,4,4,1,4,6,6,2,4,2,NA,4,3,6,5,4,3,3,3,2,4,5,5,5,1,2,1,10,1,4,1,1,8,9,1,9,1,5,12,12,4,12,1,8,2,5,12,12,4,12,1,12,12,12,12,12,12,12,10,1,1,10,12,12,12,10,10,6,1,12,12,12,12,12,12,12,1,2,3,3,3,2,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,1,10,6,1,1,5,5,1,3,3,1,4,4,3,1,2,4,1,2,4,6,6,2,3,1,2,2,2,2,2,2,1,NA,NA,NA,NA,1,1,1,5,1,1,1,2,2,5,1,2,4,2,1,2,2,2,1,1,1,5,5,4,1,11,4,4,4,11,4,11,6,"Conservative",1
